SL,Timestamp,Age,Sex identity,In which university do you study?,Do you have knowledge regarding the current situation of the COVID-19 pandemic?,Where do you get most of the information regarding the COVID-19?,Are you worried about getting infected by the COVID-19?,Are you worried that your family members would get infected by COVID-19?,How do you feel about measures taken to prevent the spread of the COVID-19 in Bangladesh?,Are you worried about getting proper treatment if you are infected by covid-19?,"Before the lockdown, how often did you feel nervous or stressed?",Are your Studies being affected due to the lockdown?,Do you feel without the help of friends and teachers your studies are being affected?,Do you feel online classes are helping you in study?,Do you feel the lockdown is setting you back from your study goals? ,"Before lockdown, how often did you feel confident about your ability to handle your personal problems?",Where is your current location?,Which division do you live in?,Are you living with your family? ,What is the total monthly income of your family?,As a student have you ever been involved in any of the extracurricular activities during lockdown?,"Feeling nervous, anxious or on edge?","Feeling down, depressed, or hopeless?"
152,05-07-20 10:47,2,2,1,1,1,2,1,2,1,2,1,1,0,1,3,2,6,1,2,0,1,1
153,05-07-20 11:06,2,1,1,0,6,1,1,0,1,3,1,1,1,1,2,1,1,1,1,1,1,1
154,05-07-20 11:16,2,2,1,1,1,1,1,2,1,3,1,1,2,2,3,2,1,1,4,0,1,1
155,05-07-20 11:27,1,2,1,1,6,2,2,0,1,2,1,1,0,1,3,1,3,1,3,0,1,1
156,05-07-20 11:29,1,2,2,1,6,0,1,2,0,2,1,1,1,1,2,2,1,1,2,0,1,1
157,05-07-20 11:37,2,1,2,1,1,1,1,0,1,1,1,1,0,1,4,1,1,1,1,0,1,1
158,05-07-20 11:41,2,2,1,1,6,2,1,2,1,2,1,1,0,1,4,1,1,1,2,0,1,1
159,05-07-20 11:55,1,2,1,1,5,1,1,2,1,2,1,1,0,1,3,2,8,1,5,1,1,1
160,05-07-20 12:14,2,1,2,1,1,1,1,2,1,2,1,1,0,1,2,2,1,1,2,1,1,1
161,05-07-20 12:22,3,1,1,1,5,1,1,2,1,1,1,1,0,1,3,1,1,1,2,0,1,1
162,05-07-20 12:24,2,1,2,1,4,1,1,2,1,4,0,1,2,1,0,2,1,1,5,1,1,0
163,05-07-20 12:41,2,1,2,1,6,1,1,1,1,2,1,1,0,1,4,2,1,1,1,0,1,1
164,05-07-20 12:44,2,1,1,1,5,2,2,2,1,2,1,1,0,1,3,1,1,1,1,1,1,1
165,05-07-20 13:01,2,1,2,1,5,0,1,0,1,4,2,0,0,0,2,1,6,1,2,1,1,1
166,05-07-20 13:14,2,1,1,1,6,2,1,0,1,0,0,1,2,1,2,2,1,1,1,1,1,1
167,05-07-20 13:15,3,1,1,1,1,2,1,0,2,4,0,1,1,0,3,2,2,0,2,0,1,1
168,05-07-20 13:43,2,2,1,1,1,1,1,0,1,0,1,1,1,1,0,2,1,0,3,1,1,0
169,05-07-20 13:44,2,1,1,1,5,1,1,0,1,1,1,1,1,1,3,1,2,1,2,0,1,1
170,05-07-20 13:48,2,2,1,1,1,1,1,2,1,2,1,1,2,1,0,2,2,1,3,0,1,1
171,05-07-20 13:57,2,1,1,1,1,1,1,2,1,2,0,1,0,0,2,1,1,1,1,0,1,1
172,05-07-20 14:01,2,2,1,1,1,1,1,2,1,2,1,1,2,1,4,2,2,1,3,0,1,1
173,05-07-20 14:36,1,1,2,1,1,0,2,0,1,0,1,0,0,0,2,2,1,1,5,1,0,0
174,05-07-20 14:40,2,1,1,1,1,2,1,0,1,3,1,0,0,1,4,2,1,1,3,0,1,1
175,05-07-20 14:45,1,1,1,1,6,2,1,2,1,0,1,1,0,1,3,2,3,1,5,0,1,1
176,05-07-20 14:52,1,1,1,1,3,1,1,0,1,3,1,1,0,1,3,1,5,1,1,0,1,1
177,05-07-20 15:03,3,1,2,1,5,1,0,0,2,2,1,1,2,2,2,1,1,1,1,2,1,1
178,05-07-20 15:09,2,1,1,1,7,2,1,2,1,2,1,1,0,1,4,2,1,1,1,0,1,1
179,05-07-20 15:11,2,1,1,1,5,0,2,0,1,1,1,1,1,1,2,2,3,1,1,0,1,1
180,05-07-20 15:14,2,1,1,1,1,1,1,2,1,4,0,1,0,2,2,1,5,1,1,0,1,1
181,05-07-20 15:17,2,1,2,1,4,1,1,2,1,2,1,1,0,1,2,2,3,1,1,0,1,1
182,05-07-20 15:23,1,2,2,1,6,0,1,0,1,2,0,0,1,1,2,2,3,1,3,0,0,1
183,05-07-20 15:42,1,1,1,1,5,2,2,0,1,0,1,1,0,1,4,2,8,1,4,1,0,0
184,05-07-20 15:54,2,2,1,1,1,1,1,0,1,2,2,1,2,1,4,2,3,1,1,0,1,1
185,05-07-20 16:03,2,2,1,1,6,1,1,2,1,3,1,1,1,2,3,1,1,1,3,0,0,0
186,05-07-20 16:07,2,1,1,1,7,2,1,2,1,0,1,1,0,1,4,1,1,1,3,1,0,0
187,05-07-20 16:14,3,2,1,1,5,2,1,2,2,1,0,0,0,1,4,2,1,1,5,1,1,1
188,05-07-20 16:26,3,1,2,1,1,1,1,0,1,0,0,1,0,1,2,1,6,1,5,1,1,1
189,05-07-20 16:28,2,1,1,0,6,2,2,0,2,1,0,0,0,1,1,1,1,1,4,0,1,1
190,05-07-20 16:34,2,2,1,1,1,0,0,0,0,1,0,0,1,1,2,1,1,1,1,2,1,1
191,05-07-20 16:37,2,1,1,1,1,1,2,2,1,2,1,1,0,1,4,1,1,1,1,0,1,1
192,05-07-20 17:18,2,2,2,1,6,0,0,2,1,4,1,2,1,1,2,1,1,1,4,0,1,1
193,05-07-20 17:28,2,1,1,1,1,1,1,0,1,4,1,1,0,1,2,1,1,1,1,1,1,1
194,05-07-20 17:34,2,1,1,1,5,0,1,0,2,0,1,0,0,0,2,2,1,1,5,1,0,0
195,05-07-20 18:19,2,1,1,1,4,1,1,0,1,3,0,1,0,1,3,1,1,1,2,0,1,1
